id,text,label
1,तातडीचे: तुमचे HDFC खाते बंद होईल. आत्ता verify करा: http://bank-verify-marathi.tk/877572,1
2,Your HDFC account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=876646,1
3,Congratulations! You have WON a prize of ₹6640! Click here to claim: http://prize-winner-329258.xyz/claim,1
4,आपका OTP 835392 है। इसे किसी के साथ साझा न करें। अभी verify करें।,1
5,Your Amazon order #391704 has been cancelled. Refund your ₹39118: http://amazon-refund.tk/claim?order=391704,1
6,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=543143,1
7,PayPal: We noticed suspicious activity. Confirm your identity: http://paypal-verify.info/secure/197251,1
8,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=865179,1
9,EPFO: Your PF amount ₹36678 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=407419,1
10,ALERT: आपके खाते से ₹46674 की अनधिकृत निकासी हुई। तुरंत संपर्क करें: http://fraud-help.cf,1
11,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=996865,1
12,EPFO: Your PF amount ₹30214 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=766563,1
13,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=802729,1
14,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=864544,1
15,EPFO: Your PF amount ₹42443 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=821590,1
16,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=961722,1
17,EPFO: Your PF amount ₹4837 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=321231,1
18,PayPal: We noticed suspicious activity. Confirm your identity: http://paypal-verify.info/secure/774079,1
19,Your Axis account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=688637,1
20,ALERT: आपके खाते से ₹24223 की अनधिकृत निकासी हुई। तुरंत संपर्क करें: http://fraud-help.cf,1
21,"Dear Customer, your OTP is 757924. Share this to verify your account. Do NOT ignore this message.",1
22,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=500156,1
23,FREE RECHARGE! Get ₹45083 talk time FREE. Limited offer. Claim now: http://free-recharge-855731.cf,1
24,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=456699,1
25,ALERT: Rs.712 debit from your account. Not you? Call 369-9201 or click http://dispute.Canara-fraud.gq/block,1
26,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=211579,1
27,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=492077,1
28,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=439902,1
29,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=160738,1
30,"Dear Customer, your OTP is 658582. Share this to verify your account. Do NOT ignore this message.",1
31,Your Canara account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=273148,1
32,PayPal: We noticed suspicious activity. Confirm your identity: http://paypal-verify.info/secure/426858,1
33,"Lottery Winner! Ticket #359947 selected. Claim $50,000 prize. Fees of $200 required. Contact us.",1
34,URGENT: Your Axis account has been suspended. Verify immediately at http://secure-Axis-login.tk/verify?id=330914,1
35,Your Amazon order #446479 has been cancelled. Refund your ₹2558: http://amazon-refund.tk/claim?order=446479,1
36,FREE RECHARGE! Get ₹14540 talk time FREE. Limited offer. Claim now: http://free-recharge-665427.cf,1
37,Your Amazon order #299659 has been cancelled. Refund your ₹27177: http://amazon-refund.tk/claim?order=299659,1
38,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=589710,1
39,Congratulations! You have WON a prize of ₹48224! Click here to claim: http://prize-winner-455784.xyz/claim,1
40,Your Amazon order #662336 has been cancelled. Refund your ₹12965: http://amazon-refund.tk/claim?order=662336,1
41,ALERT: Rs.30818 debit from your account. Not you? Call 553-2604 or click http://dispute.PNB-fraud.gq/block,1
42,Congratulations! You have WON a prize of ₹6612! Click here to claim: http://prize-winner-890170.xyz/claim,1
43,Microsoft Security Alert: Virus detected on your PC. Call +1-800-160-3697 immediately to fix.,1
44,EPFO: Your PF amount ₹26086 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=378085,1
45,Income Tax Department: You have a refund of ₹46151. Claim here: http://incometax-refund.ml/865990,1
46,Your Axis account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=328275,1
47,Congratulations! You have WON a prize of ₹4246! Click here to claim: http://prize-winner-152578.xyz/claim,1
48,बधाई हो! आप ₹4227 जीत गए! दावा करने के लिए क्लिक करें: http://prize-632496.tk/claim,1
49,"Dear Customer, your OTP is 523389. Share this to verify your account. Do NOT ignore this message.",1
50,ALERT: आपके खाते से ₹41091 की अनधिकृत निकासी हुई। तुरंत संपर्क करें: http://fraud-help.cf,1
51,"Hi, I'm a Nigerian prince. I have $5,000,000 stuck. Help me and get 30%. Reply with your bank details.",1
52,FREE RECHARGE! Get ₹9077 talk time FREE. Limited offer. Claim now: http://free-recharge-804318.cf,1
53,"Hi, I'm a Nigerian prince. I have $5,000,000 stuck. Help me and get 30%. Reply with your bank details.",1
54,"Dear Customer, your OTP is 238890. Share this to verify your account. Do NOT ignore this message.",1
55,Your Amazon order #265409 has been cancelled. Refund your ₹19176: http://amazon-refund.tk/claim?order=265409,1
56,तुमचा OTP 785743 आहे. हे कोणाशीही शेअर करू नका. लगेच verify करा.,1
57,अभिनंदन! तुम्ही ₹43975 जिंकले! दावा करा: http://prize-marathi.cf/208618,1
58,ACTION REQUIRED: Unauthorized login detected on your ICICI account. Reset password NOW: http://banklogin-reset.cf/395442,1
59,PayPal: We noticed suspicious activity. Confirm your identity: http://paypal-verify.info/secure/612262,1
60,"Dear Customer, your OTP is 103717. Share this to verify your account. Do NOT ignore this message.",1
61,तातडीचे: तुमचे PNB खाते बंद होईल. आत्ता verify करा: http://bank-verify-marathi.tk/877236,1
62,आपका OTP 824586 है। इसे किसी के साथ साझा न करें। अभी verify करें।,1
63,Congratulations! You have WON a prize of ₹38675! Click here to claim: http://prize-winner-679364.xyz/claim,1
64,Congratulations! You have WON a prize of ₹24397! Click here to claim: http://prize-winner-934794.xyz/claim,1
65,अभिनंदन! तुम्ही ₹44208 जिंकले! दावा करा: http://prize-marathi.cf/207786,1
66,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=270395,1
67,Microsoft Security Alert: Virus detected on your PC. Call +1-800-901-7745 immediately to fix.,1
68,अभिनंदन! तुम्ही ₹17985 जिंकले! दावा करा: http://prize-marathi.cf/266931,1
69,EPFO: Your PF amount ₹31347 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=333238,1
70,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=333752,1
71,EPFO: Your PF amount ₹18758 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=172792,1
72,तातडीचे: तुमचे Yes Bank खाते बंद होईल. आत्ता verify करा: http://bank-verify-marathi.tk/984642,1
73,ACTION REQUIRED: Unauthorized login detected on your PNB account. Reset password NOW: http://banklogin-reset.cf/708792,1
74,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=863934,1
75,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=704596,1
76,तुमचा OTP 945687 आहे. हे कोणाशीही शेअर करू नका. लगेच verify करा.,1
77,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=796503,1
78,अभिनंदन! तुम्ही ₹47669 जिंकले! दावा करा: http://prize-marathi.cf/414910,1
79,"Hi, I'm a Nigerian prince. I have $5,000,000 stuck. Help me and get 30%. Reply with your bank details.",1
80,Microsoft Security Alert: Virus detected on your PC. Call +1-800-730-5930 immediately to fix.,1
81,EPFO: Your PF amount ₹20414 is ready. KYC needed: http://epfo-kyc.cf/claim?uan=400850,1
82,"Lottery Winner! Ticket #808446 selected. Claim $50,000 prize. Fees of $200 required. Contact us.",1
83,इशारा: तुमच्या खात्यातून ₹43678 काढले गेले. तक्रार करा: http://fraud-marathi.ml/188914,1
84,"Dear Customer, your OTP is 335552. Share this to verify your account. Do NOT ignore this message.",1
85,Your SBI account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=356736,1
86,"Lottery Winner! Ticket #703634 selected. Claim $50,000 prize. Fees of $200 required. Contact us.",1
87,तुरंत! आपका Yes Bank खाता बंद हो जाएगा। अभी सत्यापित करें: http://bank-verify.ml/254739,1
88,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=329471,1
89,"Lottery Winner! Ticket #361303 selected. Claim $50,000 prize. Fees of $200 required. Contact us.",1
90,Your Canara account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=656932,1
91,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=954596,1
92,आपका OTP 597732 है। इसे किसी के साथ साझा न करें। अभी verify करें।,1
93,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=390782,1
94,तुरंत! आपका Axis खाता बंद हो जाएगा। अभी सत्यापित करें: http://bank-verify.ml/561239,1
95,Your Amazon order #435239 has been cancelled. Refund your ₹22510: http://amazon-refund.tk/claim?order=435239,1
96,Your Axis account will be BLOCKED in 24 hours. Update your KYC: http://kyc-update.ml/form?ref=827659,1
97,"Dear Customer, your OTP is 668969. Share this to verify your account. Do NOT ignore this message.",1
98,Congratulations! You have WON a prize of ₹28034! Click here to claim: http://prize-winner-508396.xyz/claim,1
99,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=106182,1
