id,text,label
1,Your OTP for login is 980664. Valid for 10 minutes. Do NOT share with anyone.,0
2,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
3,Happy Birthday Rajesh! Wishing you a wonderful day.,0
4,तुमचा OTP 996123 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
5,₹24384 चा व्यवहार BigBazaar येथे झाला. शिल्लक: ₹4335,0
6,₹49892 का लेनदेन Swiggy पर हुआ। बैलेंस: ₹178949,0
7,आपका OTP 313181 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
8,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
9,Library book return due on 21-02-2025. Please return to avoid fine.,0
10,Meeting at 3 PM today. Conference room B. Please bring your laptop.,0
11,Your flight AI-5064 departs at 6:30 AM from Terminal 2. Check-in open.,0
12,Meeting at 3 PM today. Conference room B. Please bring your laptop.,0
13,Library book return due on 02-07-2025. Please return to avoid fine.,0
14,Transaction of ₹22657 done at Swiggy. Available bal: ₹161243.,0
15,₹11782 चा व्यवहार Reliance येथे झाला. शिल्लक: ₹49296,0
16,Your order #4337 has been delivered. Rate your experience on the app.,0
17,Reminder: EMI of ₹25580 due on 22-06-2025. Auto-debit will happen.,0
18,Doctor appointment confirmed for 28-04-2025 at 11 AM with Dr. Sneha.,0
19,Your flight AI-5796 departs at 6:30 AM from Terminal 2. Check-in open.,0
20,Transaction of ₹46074 done at BigBazaar. Available bal: ₹157220.,0
21,Meeting at 3 PM today. Conference room B. Please bring your laptop.,0
22,आपका OTP 585820 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
23,Doctor appointment confirmed for 18-06-2025 at 11 AM with Dr. Amit.,0
24,Doctor appointment confirmed for 05-12-2025 at 11 AM with Dr. Priya.,0
25,Exam results declared. Log in to portal to check your score.,0
26,Transaction of ₹22119 done at BigBazaar. Available bal: ₹14690.,0
27,Reminder: EMI of ₹29860 due on 16-04-2025. Auto-debit will happen.,0
28,Your flight AI-4946 departs at 6:30 AM from Terminal 2. Check-in open.,0
29,तुमचा OTP 927820 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
30,Your order #3890 has been delivered. Rate your experience on the app.,0
31,Library book return due on 04-09-2025. Please return to avoid fine.,0
32,Transaction of ₹4598 done at Amazon. Available bal: ₹181454.,0
33,Exam results declared. Log in to portal to check your score.,0
34,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
35,Meeting at 3 PM today. Conference room B. Please bring your laptop.,0
36,Exam results declared. Log in to portal to check your score.,0
37,Transaction of ₹37096 done at Zomato. Available bal: ₹29149.,0
38,Reminder: EMI of ₹25103 due on 24-08-2025. Auto-debit will happen.,0
39,₹38929 चा व्यवहार DMart येथे झाला. शिल्लक: ₹105199,0
40,Meeting at 3 PM today. Conference room B. Please bring your laptop.,0
41,₹3551 चा व्यवहार BigBazaar येथे झाला. शिल्लक: ₹160800,0
42,Library book return due on 08-10-2025. Please return to avoid fine.,0
43,तुमचा OTP 816972 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
44,आपका OTP 647427 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
45,₹33962 का लेनदेन Petrol Pump पर हुआ। बैलेंस: ₹78998,0
46,Library book return due on 25-09-2025. Please return to avoid fine.,0
47,तुमचा OTP 721109 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
48,₹40024 का लेनदेन DMart पर हुआ। बैलेंस: ₹174102,0
49,आपका OTP 737991 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
