id,text,label
522,आपकी मीटिंग कल सुबह 10 बजे है। कृपया समय पर आएं। एजेंडा अटैच है।,0
738,"Hi Rahul, your interview is confirmed for 2025-03-25 at 10 AM. Please bring your ID and portfolio.",0
741,सभी कर्मचारियों को सूचित किया जाता है कि वार्षिक परीक्षा 2024-05-06 को होगी।,0
661,Webinar reminder: 'Machine Learning in Healthcare' starts in 1 hour. Join link in calendar invite.,0
412,इशारा: तुमच्या खात्यातून ₹49447 काढले गेले. तक्रार करा: http://fraud-marathi.ml/890973,1
679,Reminder: Your subscription renews on 2026-08-20. No action needed if you wish to continue.,0
627,"Your password was changed successfully. If you didn't make this change, contact support immediately.",0
514,तुमची मीटिंग उद्या आहे. कृपया वेळेवर या. अजेंडा संलग्न आहे.,0
860,Reminder: Your subscription renews on 2025-03-28. No action needed if you wish to continue.,0
137,ICICI: तुमचे खाते freeze होईल. KYC अपडेट करा: http://icici-kyc.gq/form?id=564226,1
812,"Your password was changed successfully. If you didn't make this change, contact support immediately.",0
77,Your Netflix subscription failed. Update billing to continue: http://netflix-billing.tk/update?id=796503,1
637,"Happy Birthday! As a valued customer, enjoy 10% off your next purchase with code BDAY52788.",0
974,टीम को सूचित किया जाता है कि इस शुक्रवार को कोई काम नहीं होगा। छुट्टी का आनंद लें।,0
939,आपका ऑर्डर #8700 डिलीवर हो गया है। कृपया रेटिंग दें।,0
900,"Hi Pooja, your interview is confirmed for 2024-02-24 at 10 AM. Please bring your ID and portfolio.",0
281,इशारा: तुमच्या खात्यातून ₹7786 काढले गेले. तक्रार करा: http://fraud-marathi.ml/913875,1
884,Reminder: Your subscription renews on 2026-04-27. No action needed if you wish to continue.,0
762,Your invoice #INV-41569 is ready. Amount due: ₹48351. Payment due by 2025-05-21.,0
320,Microsoft Security Alert: Virus detected on your PC. Call +1-800-411-3697 immediately to fix.,1
550,Conference registration confirmed. You're attending TechSummit 2026. Badge pickup at Gate A.,0
175,Congratulations! You have WON a prize of ₹23992! Click here to claim: http://prize-winner-493049.xyz/claim,1
372,इशारा: तुमच्या खात्यातून ₹19834 काढले गेले. तक्रार करा: http://fraud-marathi.ml/695361,1
528,आपका ऑर्डर #60866 डिलीवर हो गया है। कृपया रेटिंग दें।,0
211,बधाई हो! आप ₹49367 जीत गए! दावा करने के लिए क्लिक करें: http://prize-166645.tk/claim,1
236,URGENT: Your Axis account has been suspended. Verify immediately at http://secure-Axis-login.tk/verify?id=321494,1
102,इशारा: तुमच्या खात्यातून ₹31130 काढले गेले. तक्रार करा: http://fraud-marathi.ml/233827,1
987,Your invoice #INV-88414 is ready. Amount due: ₹47348. Payment due by 2026-11-05.,0
903,Conference registration confirmed. You're attending TechSummit 2025. Badge pickup at Gate A.,0
948,Project update: Milestone 3 completed ahead of schedule. Next milestone due in 2 weeks.,0
347,अभिनंदन! तुम्ही ₹27798 जिंकले! दावा करा: http://prize-marathi.cf/712056,1
140,ALERT: Rs.10758 debit from your account. Not you? Call 561-8699 or click http://dispute.HDFC-fraud.gq/block,1
622,Your invoice #INV-90573 is ready. Amount due: ₹16920. Payment due by 2024-01-23.,0
500,"Hi, I'm a Nigerian prince. I have $5,000,000 stuck. Help me and get 30%. Reply with your bank details.",1
371,ALERT: Rs.42986 debit from your account. Not you? Call 290-1230 or click http://dispute.Canara-fraud.gq/block,1
199,"Lottery Winner! Ticket #879238 selected. Claim $50,000 prize. Fees of $200 required. Contact us.",1
688,Reminder: Your subscription renews on 2025-05-12. No action needed if you wish to continue.,0
585,Conference registration confirmed. You're attending TechSummit 2026. Badge pickup at Gate A.,0
902,आपकी मीटिंग कल सुबह 10 बजे है। कृपया समय पर आएं। एजेंडा अटैच है।,0
60,"Dear Customer, your OTP is 103717. Share this to verify your account. Do NOT ignore this message.",1
329,Microsoft Security Alert: Virus detected on your PC. Call +1-800-721-3353 immediately to fix.,1
97,"Dear Customer, your OTP is 668969. Share this to verify your account. Do NOT ignore this message.",1
313,Income Tax Department: You have a refund of ₹47149. Claim here: http://incometax-refund.ml/844031,1
975,Reminder: Your subscription renews on 2026-02-06. No action needed if you wish to continue.,0
300,Income Tax Department: You have a refund of ₹39993. Claim here: http://incometax-refund.ml/852524,1
278,ACTION REQUIRED: Unauthorized login detected on your Kotak account. Reset password NOW: http://banklogin-reset.cf/244283,1
925,तुमची मीटिंग उद्या आहे. कृपया वेळेवर या. अजेंडा संलग्न आहे.,0
602,Your order #2267 has been shipped. Expected delivery: 2026-11-06. Track at our official website.,0
440,"Hi, I'm a Nigerian prince. I have $5,000,000 stuck. Help me and get 30%. Reply with your bank details.",1
838,GitHub: New pull request in auth-service - 'Fix login bug' by developer. Please review when you get a chance.,0
571,Project update: Milestone 3 completed ahead of schedule. Next milestone due in 2 weeks.,0
880,सभी कर्मचारियों को सूचित किया जाता है कि वार्षिक परीक्षा 2024-10-02 को होगी।,0
262,SBI: आपका ATM कार्ड ब्लॉक हो जाएगा। अपडेट करें: http://sbi-update.ml/card?id=686072,1
