id,text,label
1,लोन ऑफर: ₹39970 लगेच मिळेल. कोणतेही कागदपत्र नाही. आत्ता apply करा.,1
2,Your CIBIL score is low. Get instant loan ₹6654. No documents. Click: http://loan-app.cf,1
3,अभिनंदन! ₹80898 तुमच्या खात्यात जमा होतील. verify करा: http://upi.ml,1
4,URGENT: Your bank a/c will be blocked. Send OTP 374864 to our executive immediately.,1
5,Aadhaar linked with crime. Call CBI officer at +91-8819308104 immediately. Ignore at your risk.,1
6,मुफ्त! आपने ₹70953 जीते! 24 घंटे में दावा करें। कॉल करें +91-7125345198,1
7,मुफ्त! आपने ₹29431 जीते! 24 घंटे में दावा करें। कॉल करें +91-7825868589,1
8,लोन ऑफर: ₹17651 तुरंत मिलेगा। कोई दस्तावेज़ नहीं। अभी apply करें।,1
9,बधाई! ₹50472 आपके खाते में भेजे जाएंगे। अभी verify करें: http://upi.ml,1
10,लोन ऑफर: ₹44606 तुरंत मिलेगा। कोई दस्तावेज़ नहीं। अभी apply करें।,1
11,मुफ्त! आपने ₹79621 जीते! 24 घंटे में दावा करें। कॉल करें +91-9612371538,1
12,FREE msg: You've won ₹91567! Claim within 24hrs. Call +91-9900252040 or SMS WIN to 56789.,1
13,"Dear customer, ₹23425 credited to your account as cashback. Verify: http://cashback.ml/24729",1
14,लोन ऑफर: ₹63200 तुरंत मिलेगा। कोई दस्तावेज़ नहीं। अभी apply करें।,1
15,बधाई! ₹18107 आपके खाते में भेजे जाएंगे। अभी verify करें: http://upi.ml,1
16,FREE msg: You've won ₹14086! Claim within 24hrs. Call +91-7339581951 or SMS WIN to 56789.,1
17,Congratulations! Your UPI ID won ₹49325. Verify at http://upi-winner.tk to receive.,1
18,URGENT: Your bank a/c will be blocked. Send OTP 115743 to our executive immediately.,1
19,लोन ऑफर: ₹68168 लगेच मिळेल. कोणतेही कागदपत्र नाही. आत्ता apply करा.,1
20,अभिनंदन! ₹17257 तुमच्या खात्यात जमा होतील. verify करा: http://upi.ml,1
21,आपका आधार कार्ड crime से लिंक है। तुरंत call करें +91-8173372700,1
22,Police Case registered against you. Pay ₹22010 fine immediately to avoid arrest: +91-9742740566,1
23,LOTTERY: You've been selected as a winner! Prize: ₹96241. Pay ₹500 processing fee to claim.,1
24,तातडीचे: तुमचे UPI खाते बंद होईल. OTP 871139 द्या.,1
25,Job offer! Earn ₹56871/day from home. No experience needed. Register: http://earn-home.ml,1
26,अभिनंदन! ₹6803 तुमच्या खात्यात जमा होतील. verify करा: http://upi.ml,1
