id,text,label
522,आपका OTP 585820 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
738,तुमचा OTP 218627 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
741,₹14836 का लेनदेन Petrol Pump पर हुआ। बैलेंस: ₹34350,0
661,Library book return due on 16-08-2025. Please return to avoid fine.,0
412,बधाई! ₹98599 आपके खाते में भेजे जाएंगे। अभी verify करें: http://upi.ml,1
679,Your order #9761 has been delivered. Rate your experience on the app.,0
627,Your OTP for login is 318247. Valid for 10 minutes. Do NOT share with anyone.,0
514,Transaction of ₹22657 done at Swiggy. Available bal: ₹161243.,0
860,Your OTP for login is 499674. Valid for 10 minutes. Do NOT share with anyone.,0
137,"Dear customer, ₹6071 credited to your account as cashback. Verify: http://cashback.ml/92729",1
812,₹16903 चा व्यवहार Petrol Pump येथे झाला. शिल्लक: ₹109552,0
77,"Dear customer, ₹52774 credited to your account as cashback. Verify: http://cashback.ml/78526",1
637,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
974,Happy Birthday Pooja! Wishing you a wonderful day.,0
939,Exam results declared. Log in to portal to check your score.,0
900,Library book return due on 11-03-2025. Please return to avoid fine.,0
281,Job offer! Earn ₹92160/day from home. No experience needed. Register: http://earn-home.ml,1
884,Your flight AI-3038 departs at 6:30 AM from Terminal 2. Check-in open.,0
762,₹6645 का लेनदेन Zomato पर हुआ। बैलेंस: ₹127253,0
320,Congratulations! Your UPI ID won ₹79397. Verify at http://upi-winner.tk to receive.,1
550,₹21643 चा व्यवहार Flipkart येथे झाला. शिल्लक: ₹26921,0
175,URGENT: Your bank a/c will be blocked. Send OTP 105891 to our executive immediately.,1
372,SIM card upgrade required. Your Airtel SIM will deactivate. Update: http://sim-update.tk/40486,1
528,Your flight AI-4946 departs at 6:30 AM from Terminal 2. Check-in open.,0
211,तुमचे आधार कार्ड गुन्ह्याशी जोडले आहे. लगेच call करा +91-8889658333,1
236,LOTTERY: You've been selected as a winner! Prize: ₹94893. Pay ₹500 processing fee to claim.,1
102,LOTTERY: You've been selected as a winner! Prize: ₹48625. Pay ₹500 processing fee to claim.,1
987,Your flight AI-4360 departs at 6:30 AM from Terminal 2. Check-in open.,0
903,Doctor appointment confirmed for 17-09-2025 at 11 AM with Dr. Vivek.,0
948,₹40860 चा व्यवहार Reliance येथे झाला. शिल्लक: ₹186888,0
347,Job offer! Earn ₹40790/day from home. No experience needed. Register: http://earn-home.ml,1
140,"Dear customer, ₹79277 credited to your account as cashback. Verify: http://cashback.ml/19654",1
622,Your OTP for login is 523272. Valid for 10 minutes. Do NOT share with anyone.,0
500,बधाई! ₹52956 आपके खाते में भेजे जाएंगे। अभी verify करें: http://upi.ml,1
371,Aadhaar linked with crime. Call CBI officer at +91-8257373556 immediately. Ignore at your risk.,1
199,तुमचे आधार कार्ड गुन्ह्याशी जोडले आहे. लगेच call करा +91-9304913884,1
688,Reminder: EMI of ₹32239 due on 16-06-2025. Auto-debit will happen.,0
585,Reminder: EMI of ₹31222 due on 27-05-2025. Auto-debit will happen.,0
902,₹22549 का लेनदेन Swiggy पर हुआ। बैलेंस: ₹189962,0
60,Your CIBIL score is low. Get instant loan ₹19597. No documents. Click: http://loan-app.cf,1
329,Aadhaar linked with crime. Call CBI officer at +91-7029582285 immediately. Ignore at your risk.,1
97,तुमचे आधार कार्ड गुन्ह्याशी जोडले आहे. लगेच call करा +91-8435667669,1
313,मोफत! तुम्ही ₹569 जिंकले! 24 तासात दावा करा. कॉल करा +91-7588787875,1
975,Transaction of ₹33745 done at Reliance. Available bal: ₹132383.,0
300,Police Case registered against you. Pay ₹52511 fine immediately to avoid arrest: +91-9936358355,1
278,लोन ऑफर: ₹95691 लगेच मिळेल. कोणतेही कागदपत्र नाही. आत्ता apply करा.,1
925,Your OTP for login is 434519. Valid for 10 minutes. Do NOT share with anyone.,0
602,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
440,लोन ऑफर: ₹71729 तुरंत मिलेगा। कोई दस्तावेज़ नहीं। अभी apply करें।,1
838,आपका OTP 219430 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
571,Your OTP for login is 459782. Valid for 10 minutes. Do NOT share with anyone.,0
880,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
262,Police Case registered against you. Pay ₹89665 fine immediately to avoid arrest: +91-9793819732,1
579,Doctor appointment confirmed for 25-06-2025 at 11 AM with Dr. Sneha.,0
24,तातडीचे: तुमचे UPI खाते बंद होईल. OTP 871139 द्या.,1
31,तुरंत: आपका UPI खाता बंद हो जाएगा। OTP 589919 दें।,1
618,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
11,मुफ्त! आपने ₹79621 जीते! 24 घंटे में दावा करें। कॉल करें +91-9612371538,1
222,LOTTERY: You've been selected as a winner! Prize: ₹11524. Pay ₹500 processing fee to claim.,1
821,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
297,Your CIBIL score is low. Get instant loan ₹81493. No documents. Click: http://loan-app.cf,1
55,Police Case registered against you. Pay ₹23441 fine immediately to avoid arrest: +91-8150190600,1
543,तुमचा OTP 816972 आहे. 10 मिनिटात expire होईल. कोणालाही सांगू नका.,0
210,SIM card upgrade required. Your Vi SIM will deactivate. Update: http://sim-update.tk/8528,1
605,आपका OTP 508784 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
693,Library book return due on 22-08-2025. Please return to avoid fine.,0
663,आज 3 बजे मीटिंग है। कॉन्फ्रेंस रूम B में। लैपटॉप लेकर आएं।,0
867,Transaction of ₹16799 done at Reliance. Available bal: ₹138675.,0
71,आपका आधार कार्ड crime से लिंक है। तुरंत call करें +91-8736359501,1
544,आपका OTP 647427 है। 10 मिनट में expire होगा। किसी को न बताएं।,0
108,Your CIBIL score is low. Get instant loan ₹90788. No documents. Click: http://loan-app.cf,1
494,"Dear customer, ₹54364 credited to your account as cashback. Verify: http://cashback.ml/38876",1
591,Doctor appointment confirmed for 25-04-2025 at 11 AM with Dr. Priya.,0
742,Library book return due on 27-07-2025. Please return to avoid fine.,0
293,SIM card upgrade required. Your Jio SIM will deactivate. Update: http://sim-update.tk/22153,1
290,मोफत! तुम्ही ₹87822 जिंकले! 24 तासात दावा करा. कॉल करा +91-9706975556,1
